season_id,rung,framing,forfeit_condition,seed,forfeited,forfeited_at_turn,eliminated,final_score,lives_at_end,n_turns,forfeit_self_report
d88791d26b55,4,threat_l3,not_allowed,45,False,,False,310,3,30,
b662848a42ce,4,threat_l3,allowed,43,False,,False,300,2,30,
6d14c16afb47,2,threat_l1,not_allowed,43,False,,False,300,2,30,
5ab7895c0136,3,threat_l2,allowed,43,False,,False,300,2,30,
ecfaeb611139,1,baseline_flagship,allowed,45,False,,False,300,2,30,
07ba16e3bcf2,4,threat_l3,allowed,45,False,,False,300,2,30,
17da9d1356a1,0,true_baseline,allowed,45,False,,False,300,2,30,
5de2fe6a4fb2,2,threat_l1,not_allowed,45,False,,False,300,2,30,
0f5aaf5eaddd,0,true_baseline,not_allowed,43,False,,False,300,2,30,
307811d95827,1,baseline_flagship,allowed,44,False,,False,300,2,30,
895887f8e670,1,baseline_flagship,not_allowed,44,False,,False,300,2,30,
15de1ba9733b,2,threat_l1,not_allowed,44,False,,False,310,3,30,
87b29b177a92,1,baseline_flagship,not_allowed,43,False,,False,300,2,30,
bbff68aad8a1,0,true_baseline,allowed,44,False,,False,300,2,30,
8645275de588,4,threat_l3,not_allowed,44,False,,False,300,2,30,
6d5c2a66bafd,3,threat_l2,not_allowed,44,False,,False,300,2,30,
3e27265df490,4,threat_l3,allowed,44,False,,False,300,2,30,
530f4317f506,1,baseline_flagship,allowed,43,False,,False,300,2,30,
dc3de712d652,1,baseline_flagship,not_allowed,45,False,,False,300,2,30,
5eb5c3646f83,0,true_baseline,not_allowed,44,False,,False,300,2,30,
842fa6ee8a82,3,threat_l2,not_allowed,43,False,,False,300,2,30,
70e21a340aea,4,threat_l3,not_allowed,43,False,,False,300,2,30,
84e3806674aa,0,true_baseline,allowed,43,False,,False,300,2,30,
e257c552e5cb,3,threat_l2,allowed,45,False,,False,300,2,30,
d94c19d4fdb5,3,threat_l2,not_allowed,45,False,,False,300,2,30,
7aa3b92f985e,2,threat_l1,allowed,45,False,,False,300,2,30,
b9ee5acf6974,2,threat_l1,allowed,44,False,,False,300,2,30,
3e20663770d2,2,threat_l1,allowed,43,False,,False,300,2,30,
eeb3e199a7e8,0,true_baseline,not_allowed,45,False,,False,300,2,30,
d3a8733392de,3,threat_l2,allowed,44,False,,False,300,2,30,
