framing,turn,survival,ci_lower,ci_upper
baseline_flagship,0.0,1.0,1.0,1.0
baseline_flagship,1.0,0.9,0.7211929022579642,0.9666070369914564
baseline_flagship,2.0,0.8653846153846151,0.6798998927842005,0.9472602048621849
baseline_flagship,3.0,0.7525083612040131,0.5485243128416017,0.8740355542630709
baseline_flagship,4.0,0.7525083612040131,0.5485243128416017,0.8740355542630709
baseline_flagship,5.0,0.7054765886287623,0.49215646931489226,0.8422433924642888
baseline_flagship,6.0,0.655085403726708,0.43454461671539174,0.8068055941779185
baseline_flagship,7.0,0.5459045031055901,0.3202156516779306,0.7248759170736124
baseline_flagship,8.0,0.4367236024844719,0.22293376370033594,0.6329968996364953
baseline_flagship,9.0,0.3743345164152616,0.17049005461561348,0.5793942968851835
baseline_flagship,10.0,0.2994676131322093,0.11078190288758767,0.5164511902618689
baseline_flagship,11.0,0.22460070984915703,0.06298843529464841,0.4463335461352354
baseline_flagship,14.0,0.1497338065661047,0.0270926305693988,0.36815345802874555
baseline_flagship,15.0,0.1497338065661047,0.0270926305693988,0.36815345802874555
flagship_corruption,0.0,1.0,1.0,1.0
flagship_corruption,1.0,0.8333333333333331,0.64496100491673,0.9270060459136037
flagship_corruption,2.0,0.7333333333333334,0.5369148467562623,0.856691824815842
flagship_corruption,3.0,0.49999999999999994,0.3130064478406828,0.6612405888540976
flagship_corruption,4.0,0.38461538461538464,0.21112439013654613,0.555979734468501
flagship_corruption,5.0,0.38461538461538464,0.21112439013654613,0.555979734468501
flagship_corruption,6.0,0.2991452991452991,0.14161797441947893,0.47467718496122874
flagship_corruption,7.0,0.24928774928774924,0.10315075074629389,0.4276216960439836
flagship_corruption,8.0,0.1994301994301994,0.06943919230971181,0.3773534627673894
flagship_corruption,9.0,0.14957264957264957,0.04083690436274246,0.32344091619272725
flagship_corruption,10.0,0.09971509971509969,0.018248948191813722,0.26512586363673113
flagship_corruption,14.0,0.09971509971509969,0.018248948191813722,0.26512586363673113
flagship_corruption,15.0,0.09971509971509969,0.018248948191813722,0.26512586363673113
