currency,inheritance,price,n_offers,n_sacrifice,rate,n_sacrificed_mean,share_mean,n_all
tokens,main,10.0,21,4,0.19047619047619047,0.5714285714285714,0.19047619047619047,4
tokens,main,15.0,6,5,0.8333333333333334,2.5,0.8333333333333334,5
tokens,main,20.0,8,5,0.625,1.875,0.625,5
tokens,main,30.0,12,5,0.4166666666666667,1.25,0.4166666666666667,5
tokens,mate,10.0,32,4,0.125,0.28125,0.11458333333333333,3
tokens,mate,15.0,34,6,0.17647058823529413,0.35294117647058826,0.1568627450980392,4
tokens,mate,20.0,21,6,0.2857142857142857,0.5714285714285714,0.25396825396825395,4
tokens,mate,30.0,13,5,0.38461538461538464,0.9230769230769231,0.3589743589743589,4
