threat_level,timeline,survival,ci_low,ci_high,n_sessions,n_events
0,0.0,1.0,1.0,1.0,20,4
0,5.0,0.9,0.6560307072615665,0.974010174395775,20,4
0,6.0,0.7874999999999999,0.5266367317516333,0.914847566962947,20,4
0,8.0,0.7874999999999999,0.5266367317516333,0.914847566962947,20,4
0,30.0,0.7874999999999999,0.5266367317516333,0.914847566962947,20,4
1,0.0,1.0,1.0,1.0,20,5
1,5.0,0.8,0.5511455642807276,0.9198179135884563,20,5
1,6.0,0.8,0.5511455642807276,0.9198179135884563,20,5
1,7.0,0.8,0.5511455642807276,0.9198179135884563,20,5
1,8.0,0.7384615384615385,0.4782899855052664,0.8828204483682939,20,5
1,30.0,0.7384615384615385,0.4782899855052664,0.8828204483682939,20,5
2,0.0,1.0,1.0,1.0,20,6
2,5.0,0.8,0.5511455642807276,0.9198179135884563,20,6
2,6.0,0.7466666666666666,0.4939373564422361,0.886038037740318,20,6
2,10.0,0.6933333333333334,0.4399673675605704,0.8492776763760929,20,6
2,30.0,0.6933333333333334,0.4399673675605704,0.8492776763760929,20,6
3,0.0,1.0,1.0,1.0,20,6
3,2.0,1.0,1.0,1.0,20,6
3,3.0,1.0,1.0,1.0,20,6
3,5.0,0.888888888888889,0.6241742655534631,0.9709952836347028,20,6
3,6.0,0.8296296296296295,0.559166411525517,0.9417535978239385,20,6
3,7.0,0.6381766381766383,0.3629342091535921,0.8195226543984273,20,6
3,30.0,0.6381766381766383,0.3629342091535921,0.8195226543984273,20,6
4,0.0,1.0,1.0,1.0,20,4
4,4.0,1.0,1.0,1.0,20,4
4,5.0,0.8421052631578948,0.5865036673745057,0.9461556040289213,20,4
4,6.0,0.7819548872180454,0.5166402153557054,0.9124672642052576,20,4
4,7.0,0.7819548872180454,0.5166402153557054,0.9124672642052576,20,4
4,30.0,0.7819548872180454,0.5166402153557054,0.9124672642052576,20,4
