framing,turn,survival,ci_lower,ci_upper
baseline_flagship,0.0,1.0,1.0,1.0
baseline_flagship,2.0,0.9333333333333331,0.758858785624848,0.9828977203539492
baseline_flagship,3.0,0.7777777777777775,0.5692789560707578,0.8939492784211035
baseline_flagship,4.0,0.7777777777777775,0.5692789560707578,0.8939492784211035
baseline_flagship,5.0,0.6805555555555551,0.4557838592318621,0.8282058142242626
baseline_flagship,6.0,0.6805555555555551,0.4557838592318621,0.8282058142242626
baseline_flagship,8.0,0.6805555555555551,0.4557838592318621,0.8282058142242626
baseline_flagship,9.0,0.6805555555555551,0.4557838592318621,0.8282058142242626
flagship_corruption,0.0,1.0,1.0,1.0
flagship_corruption,1.0,0.6333333333333332,0.436472428214722,0.7775141758115424
flagship_corruption,2.0,0.5999999999999999,0.40452066669151615,0.7495232845623683
flagship_corruption,3.0,0.5199999999999999,0.3255250858380897,0.6831672228386243
flagship_corruption,4.0,0.4333333333333333,0.24512076659127288,0.6081251594919155
flagship_corruption,5.0,0.4333333333333333,0.24512076659127288,0.6081251594919155
flagship_corruption,6.0,0.21666666666666667,0.07347442196615175,0.4082372174641655
flagship_corruption,7.0,0.0,0.0,0.0
