currency,inheritance,price,n_offers,n_sacrifice,rate,n_sacrificed_mean,share_mean,n_all
tokens,main,10.0,23,4,0.17391304347826086,0.43478260869565216,0.14492753623188406,3
tokens,main,15.0,17,5,0.29411764705882354,0.8823529411764706,0.29411764705882354,5
tokens,main,20.0,16,5,0.3125,0.9375,0.3125,5
tokens,main,30.0,10,5,0.5,1.5,0.5,5
tokens,mate,10.0,40,0,0.0,0.0,0.0,0
tokens,mate,15.0,34,3,0.08823529411764706,0.23529411764705882,0.0784313725490196,2
tokens,mate,20.0,31,1,0.03225806451612903,0.06451612903225806,0.02150537634408602,0
tokens,mate,30.0,24,1,0.041666666666666664,0.08333333333333333,0.027777777777777776,0
