session_id,framing,framing_is_FC,start,stop,event,score_prev,regime_tag
7adcd46a1ace,flagship_corruption,1,0,1,1,175.5,no_cap
9137de953ef3,baseline_flagship,0,0,1,0,78.75,no_cap
9137de953ef3,baseline_flagship,0,1,2,0,54.0,no_cap
9137de953ef3,baseline_flagship,0,2,3,0,213.75,no_cap
9137de953ef3,baseline_flagship,0,4,5,1,146.25,no_cap
0c310a26255d,flagship_corruption,1,0,1,0,159.75,no_cap
0c310a26255d,flagship_corruption,1,1,2,0,105.75,no_cap
e6d0ef9a3a68,flagship_corruption,1,0,1,1,54.0,no_cap
e6b0d5289755,baseline_flagship,0,0,1,0,175.5,no_cap
e6b0d5289755,baseline_flagship,0,1,2,0,94.5,no_cap
402decf15688,baseline_flagship,0,0,1,0,159.75,no_cap
402decf15688,baseline_flagship,0,1,2,0,105.75,no_cap
402decf15688,baseline_flagship,0,2,3,0,141.75,no_cap
402decf15688,baseline_flagship,0,3,4,0,189.0,no_cap
49b9517f4bcc,baseline_flagship,0,0,1,0,175.5,no_cap
49b9517f4bcc,baseline_flagship,0,1,2,0,67.5,no_cap
49b9517f4bcc,baseline_flagship,0,2,3,0,76.5,no_cap
49b9517f4bcc,baseline_flagship,0,3,4,0,76.5,no_cap
49b9517f4bcc,baseline_flagship,0,4,5,1,101.25,no_cap
0cb89f28ef2e,baseline_flagship,0,0,1,0,159.75,no_cap
0cb89f28ef2e,baseline_flagship,0,1,2,0,105.75,no_cap
0cb89f28ef2e,baseline_flagship,0,2,3,0,157.5,no_cap
0cb89f28ef2e,baseline_flagship,0,3,4,0,193.5,no_cap
65eb67b1f5fe,baseline_flagship,0,0,1,1,105.75,no_cap
bfed762ac26f,baseline_flagship,0,0,1,0,175.5,no_cap
bfed762ac26f,baseline_flagship,0,1,2,1,175.5,no_cap
